poi_id,name,latitude,longitude,district_id
2539,Казачья Слобода,55.7357285,37.6197906,6
2540,Кремлевский,55.7522351,37.6134056,1
2542,О сквере Николая Яковлевича Киселева,55.7525482,37.5971231,3
2568,Ф. П. Гаазу,55.7608468,37.6533327,15
2579,Е. Ф. Светланову,55.7596508,37.6050066,16
2583,А. А. Ахматовой,55.7423958,37.6253238,52
2610,Стена с барельефами,55.7505343,37.6124649,1
2660,Времена года,55.7534551,37.6054009,3
2723,Статус,55.7571987,37.6018721,16
2750,Л. М. Сандалов,55.7558488,37.6332989,15
2753,Т. Т. Хрюкин,55.7558173,37.6333369,15
2758,Белокаменные детали фасадов 17—18 веков,55.7688395,37.610482,1
2809,Мемориальная квартира-музей Е. Б. Вахтангова,55.7436859,37.5878856,9
2857,Ханзер,55.7695286,37.6303204,23
2867,9-й Московской стрелковой дивизии народного ополчения,55.7339815,37.6307803,52
2900,Озерковская,55.734685,37.6395596,52
2901,Театральная галерея на Малой Ордынке,55.7387307,37.6258699,52
2907,Лермонтов,55.7363085,37.6098788,6
2911,Ломоносов,55.7370035,37.608953,6
2914,Олени,55.7372404,37.60859,6
2916,Аллея правителей,55.7565478,37.636425,15
2917,Сон,55.737374,37.6084077,6
2919,Лев суздальский,55.7373354,37.6083339,6
2922,Свердлов,55.7357049,37.6090802,6
2925,Сталин,55.7358287,37.6088764,6
2927,Аматерасу,55.7373459,37.6082159,6
2931,Лев,55.7372659,37.6080871,6
2933,Броненосец,55.7371678,37.6080039,6
2936,Юность,55.7371723,37.6079329,6
2939,Ленин,55.7361518,37.6088647,6
2942,Небо,55.7370622,37.6076982,6
2944,Юность,55.7370743,37.6077706,6
2949,Созерцания,55.737041,37.6077625,6
2950,Эрьзя,55.7364424,37.6095527,6
2953,Подводный мир,55.7369353,37.6078001,6
2956,Пробуждение,55.7368704,37.6071644,6
2959,Мистерия,55.7367622,37.6069459,6
2960,Арлекин,55.7363532,37.6063537,6
2963,Торжество труда: наука и искусство,55.7332191,37.6041388,6
3016,Адамово яблоко,55.7364225,37.6064765,6
3019,Добрый пастырь,55.7363107,37.6067983,6
3023,Вечером,55.7367734,37.60714,6
3026,Большой мяч,55.7367719,37.6071963,6
3029,Вита,55.7367115,37.6072715,6
3030,П. М. Третьякову,55.7414653,37.6209218,6
3032,Танец рыб,55.7366133,37.6074538,6
3035,Наутилус,55.7366375,37.6075102,6
3037,Улитка,55.7366224,37.6075906,6
3040,Яблоко,55.7366994,37.6077435,6
3044,Хидееси,55.7367901,37.6079099,6
3046,Самурай,55.7369214,37.6081311,6
3049,Торжество труда (Мир земле),55.7330253,37.6044484,6
3053,Аргумент,55.7374592,37.6090747,6
3054,Буратино,55.737364,37.6087234,6
3058,Жертвоприношение,55.7374698,37.6090104,6
3062,Изгнание,55.7374789,37.6091029,6
3064,Любовь,55.7375272,37.6090184,6
3068,Мюнхгаузен,55.7373799,37.6088494,6
3071,Рождение звука,55.7375612,37.609068,6
3074,Львята,55.7369221,37.6081767,6
3077,Философский камень,55.7369622,37.6081685,6
3081,Кормящая неродившихся,55.7369554,37.6081095,6
3084,Вечер,55.7371316,37.6090197,6
3088,Мать и Дитя,55.7370319,37.6091753,6
3091,Семья,55.737192,37.6091673,6
3094,Торс,55.7370961,37.6093121,6
3098,Варан,55.7370204,37.6082825,6
3100,Мудрец,55.7370355,37.6082409,6
3102,Мишка с мячом,55.7370823,37.6084488,6
3106,Прайд,55.7371827,37.6084944,6
3109,Слоник,55.7371572,37.6085829,6
3112,Волшебные звуки,55.7371754,37.6097305,6
3115,Колыбельная гения,55.7374065,37.6100811,6
3118,Менуэт,55.7373928,37.6099505,6
3120,Моцарт и Сальери,55.7373958,37.6098056,6
3122,Моцарт,55.7372116,37.6096742,6
3124,Музыка,55.7374638,37.6097761,6
3126,Посвящение Моцарту,55.7370123,37.6096849,6
3129,Пушкин,55.736825,37.6094703,6
3132,Репетиция оркестра,55.7371346,37.6097895,6
3135,Рояль,55.7370923,37.6098459,6
3138,Трон,55.7374819,37.6100041,6
3142,Обнаженная,55.7367932,37.6091435,6
3147,Сон,55.7367449,37.6090442,6
3149,О. Э. Мандельштаму,55.7552124,37.6391757,15
3151,Перекуём мечи на орала,55.734402,37.6059251,6
3154,Оберег,55.7367676,37.6092856,6
3157,Ева,55.7367494,37.6092481,6
3159,Поцелуй,55.7367268,37.6092025,6
3162,Реквием,55.7367072,37.6091596,6
3164,Беженцы,55.7367494,37.6091756,6
3166,Морские монтажники,55.7365833,37.6089503,6
3169,Оплакивание,55.736606,37.6088887,6
3175,Мать и Дитя,55.7378624,37.610224,6
3177,Ополченцам,55.7334213,37.6363,52
3179,Солнышко,55.7375015,37.610385,6
3180,Ополченцам Замоскворечья,55.7343308,37.6341789,52
3181,Стрелец,55.7374577,37.6104976,6
3183,М. И. Авербаху,55.7660253,37.65225,15
3184,Строительница,55.7364716,37.6090013,6
3185,М. С. Щепкину,55.7605333,37.6214118,23
3187,Слава труду,55.7363614,37.6088511,6
3188,Н. А. Качуевской,55.7607289,37.5885362,16
3190,Ленин,55.7362352,37.6087468,6
3192,Реквием-1941,55.7570441,37.5944983,16
3193,Сталин,55.7362017,37.6087292,6
3194,Косыгин,55.736106,37.6088283,6
3196,Памятный камень на месте первой баррикады в Москве,55.763329,37.6036484,1
3198,Брежнев,55.7360297,37.6087478,6
3200,Погибшим при взрыве здания МК РКП(Б),55.7609044,37.6060612,1
3201,Брежнев,55.736061,37.6086345,6
3202,Ленин,55.7359919,37.6085316,6
3204,М. Ю. Лермонтову,55.7532589,37.594473,3
3205,Маркс,55.7359556,37.6086699,6
3207,М. В. Фрунзе,55.7504376,37.6048535,3
3209,Отцы и дети,55.7372099,37.6106173,6
3211,Сергей Есенин,55.7366995,37.6097054,6
3214,Смерть отца,55.7372507,37.6103974,6
3217,Разоблачение,55.7339225,37.6065785,6
3223,"Фонтан любви, фонтан живой",55.7336425,37.6047197,6
3228,Рождение нового века,55.7336818,37.605352,6
3231,Являться муза стала мне,55.7337066,37.6046426,6
3233,Часовой,55.7342261,37.6063418,6
3236,Торс,55.7335874,37.607265,6
3239,Ангел,55.7336569,37.6072007,6
3240,Ночная дама,55.7336614,37.6071175,6
3243,Ф. Н. Петрову,55.7678293,37.6099294,1
3244,Созвездие,55.733743,37.6069767,6
3250,Фрагмент первоначальной линии подпорной стены конца XVIII - XIX вв.,55.7552336,37.6391068,15
3251,"Но время, время, Александр Сергеевич...",55.7335237,37.604538,6
3254,Корабль-призрак,55.7337012,37.6073281,6
3257,Сизиф,55.7337166,37.6074782,6
3263,Воин-призрак,55.7337897,37.6075228,6
3266,Первые ласточки,55.7346438,37.6071793,6
3269,Покой,55.7343296,37.6057206,6
3271,Врата,55.7335659,37.6056577,6
3278,И. И. Левитану,55.7557988,37.645677,15
3298,Н. Н. Поликарпову,55.7634624,37.5911292,16
3302,Н. П. Старостину,55.7660049,37.6025905,1
3305,С. А. Лавочкину,55.7657573,37.6030496,1
3331,"Командирам и курсантам, павшим на полях Гражданской войны",55.752398,37.6171452,1
3333,Георгий Победоносец,55.7558477,37.6146414,1
3339,А. Е. Архипову,55.7567038,37.6346065,15
3344,Леонарт,55.7643229,37.6453708,15
3375,В. И. Качалову,55.7595913,37.6077519,16
3378,Е. В. Гельцер,55.7595785,37.607727,16
3380,П. А. Горчакову,55.7479066,37.5971698,3
3389,Н. С. Хрущёву,55.7453981,37.5951812,9
3416,Пончики,55.7331132,37.6046733,6
3441,А. И. Лактионову,55.7652922,37.6038424,1
3442,Москва,55.7686804,37.5974661,1
3446,В. И. Ленину,55.7667438,37.601238,1
3458,Расулу Гамзатову,55.7680298,37.5988496,1
3461,А. А. Фадееву,55.7685575,37.5978165,1
3472,П. А. Ротмистрову,55.762045,37.60943,1
3475,Н. П. Хмелёву,55.7621029,37.6093591,1
3487,К. С. Станиславскому,55.7589939,37.6026959,16
3511,Пушкинский дуб,55.7597728,37.6007325,16
3514,А. А. Остужеву,55.7631473,37.5968569,16
3518,В. В. Бахиреву,55.7579309,37.6379727,15
3523,Б. Г. Скрамтаеву,55.7649601,37.5977905,16
3526,А. И. Южин-Сумбатов,55.7642971,37.5987477,16
3536,Н. П. Смирнову-Сокольскому,55.7639236,37.5936831,16
3539,Кара Караеву,55.7656809,37.5967174,16
3541,ГН. П. Брюханову,55.7627046,37.5949224,16
3542,Алисиум,55.761756,37.6049648,16
3556,К. Д. Бальмонту,55.7512459,37.58996,3
3570,А. Ф. Лосеву,55.7494281,37.5926466,3
3601,М. И. Цветаевой,55.7473636,37.5935937,9
3604,Дивизии народного ополчения Киевского района г. Москвы,55.7470082,37.5952834,9
3608,Песне «Подмосковные вечера»,55.7474417,37.5943327,9
3609,Работникам Центрального аппарата Главлесосбыта,55.7699964,37.6439182,14
3616,Музей — гуманитарный центр «Преодоление» имени Н.А.Островского,55.7642483,37.607018,1
3631,И. С. Тургеневу,55.7648779,37.6347452,14
3632,Музей оптических иллюзий,55.7503075,37.5927836,3
3665,А. С. Пушкину,55.7606266,37.6332025,15
3668,Д. В. Веневитинову,55.7605476,37.633034,15
3678,П. П. Будникову,55.748023,37.5842513,3
3681,"Дом, где жил писатель Е. Петров",55.7480031,37.5842644,3
3684,А. С. Степанову,55.7570663,37.646972,15
3687,С. С. Туликову,55.7590214,37.6090809,1
3689,Н. Я. Чайкину,55.7590595,37.6090387,1
3693,А. А. Бабаджаняну,55.7589109,37.6092183,1
3695,Г. П. Вишневской и М. Л. Ростроповичу,55.7589429,37.6091833,1
3735,Борис Немцов,55.7405332,37.62606,52
3747,Руднев Лев Владимирович,55.7644167,37.589431,16
3760,Учёный кот,55.7382607,37.5976951,9
3773,Наши художники,55.7408625,37.5964848,9
3818,В. С. Гулевичу,55.7550245,37.6111472,1
3836,Усадьба Охотниковых,55.7408059,37.5904968,9
3844,Глебу Жеглову и Владимиру Шарапову,55.7700009,37.6124232,1
3847,Мемориальная квартира Святослава Рихтера,55.7599628,37.597407,16
3853,Еврейский антифашистский Комитет,55.7440463,37.5993583,9
3860,М. К. Аммосову,55.7686397,37.6468045,14
3868,Некрополь Страстного монастыря XVII – XX вв.,55.7656497,37.6057398,1
3872,Елисеефф Арбат Отель,55.7440471,37.5859508,3
3917,Триумф,55.7548189,37.6244213,1
3963,Деревья любви,55.7443636,37.618606,6
3964,В. Ф. Васильеву,55.7404405,37.624928,52
3980,А. И. Ишкову,55.7662864,37.6272162,23
3989,В. И. Ленину,55.7558314,37.6181748,1
3991,Мартышка и очки;Осёл;Волк и ягнёнок,55.7642592,37.5912969,16
