poi_id,name,latitude,longitude,district_id
4679,А. Н. Комаровскому,55.7469975,37.590218,9
4681,Н. В. Огаркову,55.7469936,37.5901811,9
4683,А. Н. Ефимову,55.7469889,37.5901375,9
4685,П. Ф. Батицкому,55.7469845,37.590096,9
4687,И. Н. Кожедубу,55.746977,37.5900251,9
4689,М. А. Шолохову,55.7469565,37.5898508,9
4710,Брестоль,55.7674763,37.6080036,1
4712,Богемия,55.7671224,37.6077287,1
4714,Амурские тигрята,55.7670794,37.6418322,15
4740,Эсквайр,55.7682615,37.6157987,1
4743,Доходный жилой дом (З. А. Перцевой),55.7427293,37.6060455,9
4745,Цветковская галерея,55.741584,37.6066744,9
4746,Французской Военной Миссии,55.7416671,37.6067066,9
4747,Бульвар,55.7724424,37.6195626,1
4749,Нормандия — Неман,55.7417411,37.6067352,9
4751,Французским летчикам полка Нормандия Неман,55.7417315,37.6067315,9
4757,МИРРОС — Москва Кремль,55.7510161,37.6104176,1
4762,И. Г. Эренбургу,55.7625934,37.6087847,1
4805,Музей-квартира А. Б. Гольденвейзера,55.7632313,37.6070257,1
4807,Музей-квартира Н.С. Голованова,55.7583598,37.6058437,16
4820,Эритаж,55.7641868,37.6173977,1
4822,Галерея На Чистых Прудах,55.7636189,37.6421866,15
4828,Galerie Iragui,55.7345817,37.6174511,6
4830,Крокин галерея,55.7406665,37.6261647,52
4833,Кино,55.7540926,37.5920132,3
4839,Веллум,55.7413776,37.5919854,9
4841,Семенов,55.7412302,37.5915941,9
4861,Н. В. Ковшовой,55.7678075,37.6384466,14
4863,А. Н. Скрябину,55.7507704,37.5901997,3
4867,Старая Москва,55.7580091,37.6348418,15
4869,На Маросейке,55.7582823,37.6343764,15
4883,Ю. И. Визбору,55.7715627,37.6350459,14
4890,Визиту президента Французской Республики Жака Ширака,55.7630351,37.6318012,14
4892,В память о боях революционных отрядов с белогвардейцами в октябре 1917 года,55.7620446,37.6316162,14
4896,63-му зенитной артиллерийской дивизии Московской зоны ПВО,55.7718818,37.6369017,14
4898,В. И. Ленину и А. М. Горькому,55.7658901,37.6352821,14
4906,А. А. Бахрушину,55.7316779,37.6379929,52
4908,Профессиональному обществу рабочих металлургического и машинного производства,55.7354927,37.6350856,52
4922,17-й дивизии народного ополчения Москворецкого района,55.7318388,37.6262652,52
4924,С. Г. Навашину,55.7358289,37.6272622,52
4926,Л. Н. Толстому,55.7433274,37.6280786,52
4928,В. И. Лебедеву-Кумачу,55.744263,37.6275519,52
4930,А. Н. Островскому,55.738846,37.626314,52
4932,А. А. Ахматовой,55.7426208,37.6251842,52
4934,В. И. Ленину,55.7434856,37.630231,52
4939,Старосадский,55.7560356,37.6387384,15
4968,Встречи на Арбате,55.7513407,37.5916341,3
4970,"Музей-квартира актерской семьи М. В., А. А. Мироновых — А. С. Менакера",55.7463526,37.5926681,9
4972,Скорбящая,55.747398,37.5961818,9
4974,Женщина с крыльями,55.7473744,37.5960638,9
4976,Встреча на Эльбе,55.7474803,37.5955746,9
4978,Руки,55.7473881,37.5956743,9
4980,Экология,55.7475418,37.5958116,9
4982,Мальчик на коне,55.7474645,37.5959987,9
4997,Элизиум,55.7652559,37.6027451,1
5074,Центральный музей МЧС России,55.7595451,37.6222911,23
5078,Наумов,55.7671239,37.6320188,14
5095,Музей-мастерская Людмилы Гурченко,55.7657047,37.5949869,16
5101,Центр Гиляровского,55.763473,37.6153462,1
5131,Музей международного нумизматического клуба,55.7493962,37.5973029,3
5148,Усадьба Охотниковых,55.7408059,37.5904968,9
5149,И. А. Ефремову,55.7560647,37.6350995,15
5151,Т. Р. Рыскулову,55.7546383,37.647662,15
5153,В. Н. Пчелину,55.7547418,37.6477145,15
5163,В. И. Ленину,55.7568097,37.6143921,1
5209,Граунд Солянка,55.7546034,37.6384437,15
5210,Галерея Александра Шилова,55.7490545,37.608298,9
5270,Тюбинг,55.7340103,37.6301821,52
5272,В. И. Ленину,55.7676862,37.6065035,1
5278,К. С. Алабяну,55.7557111,37.584656,3
5279,Кремлевский,55.7475883,37.6099051,9
5282,И. И. Ловейко,55.7558628,37.5847206,3
5323,Стрелецкие палаты,55.7411623,37.6224044,6
5340,Неаполь,55.7588037,37.6051538,16
5345,Н. А. Островскому,55.7438514,37.5928322,9
5347,Весниным,55.7436222,37.5878383,9
5349,Н. С. Стрелецкому,55.7426747,37.5893033,9
5351,Н. А. Дыгаю,55.7424857,37.5889087,9
5353,Е. А. Иванову,55.7420642,37.5896719,9
5359,В. А. Гиляровскому,55.7630313,37.6149125,1
